Carteira,Data_Recomendada
N316606397,07/02/2025
N686606397,07/02/2025
N264695397,06/02/2025
N545695397,06/02/2025
N367885397,05/02/2025
N917885397,05/02/2025
N153155397,04/02/2025
N516955397,04/02/2025
N153155397,03/02/2025
N516955397,03/02/2025
N153155397,31/01/2025
N803155397,31/01/2025
N853345397,30/01/2025
N903345397,30/01/2025
N112735397,29/01/2025
N741735397,29/01/2025
N267825397,28/01/2025
N665825397,28/01/2025
N105305397,27/01/2025
N604305397,27/01/2025
N516094397,24/01/2025
N635094397,24/01/2025
N647874397,23/01/2025
N776874397,23/01/2025
N836264397,22/01/2025
N976264397,22/01/2025
N836264397,21/01/2025
N976264397,21/01/2025
N724454397,20/01/2025
N953454397,20/01/2025
N352744397,17/01/2025
N491744397,17/01/2025
N707634397,16/01/2025
N766634397,16/01/2025
N707634397,15/01/2025
N766634397,15/01/2025
N404034397,14/01/2025
N643034397,14/01/2025
N404904397,13/01/2025
N443904397,13/01/2025
N227793397,10/01/2025
N296793397,10/01/2025
N244493397,09/01/2025
N604493397,09/01/2025
N244493397,08/01/2025
N604493397,08/01/2025
N278983397,07/01/2025
N528983397,07/01/2025
N539873397,06/01/2025
N989873397,06/01/2025
N067963397,03/01/2025
N908963397,03/01/2025
N491063397,02/01/2025
N761063397,02/01/2025
N269743397,30/12/2024
N650843397,30/12/2024
N253343397,27/12/2024
N703343397,27/12/2024
N398833397,26/12/2024
N929833397,26/12/2024
N198513397,23/12/2024
N839513397,23/12/2024
N197803397,20/12/2024
N908803397,20/12/2024
N197803397,19/12/2024
N908803397,19/12/2024
N387003397,17/12/2024
N567003397,17/12/2024
N480982397,16/12/2024
N930982397,16/12/2024
N041082397,13/12/2024
N923082397,13/12/2024
N050762397,12/12/2024
N469662397,12/12/2024
N622852397,11/12/2024
N903852397,11/12/2024
N199812397,10/12/2024
N340912397,10/12/2024
N199812397,09/12/2024
N340912397,09/12/2024
N181212397,06/12/2024
N612212397,06/12/2024
N012902397,05/12/2024
N832402397,05/12/2024
N112402397,04/12/2024
N832402397,04/12/2024
N542891397,03/12/2024
N681891397,03/12/2024
N006371397,02/12/2024
N336371397,02/12/2024
N035561397,29/11/2024
N814561397,29/11/2024
N091951397,28/11/2024
N531951397,28/11/2024
N624151397,27/11/2024
N864151397,27/11/2024
N624151397,26/11/2024
N864151397,26/11/2024
N108241397,25/11/2024
N867241397,25/11/2024
N014931397,22/11/2024
N834931397,22/11/2024
N464821397,21/11/2024
N534821397,21/11/2024
N000221397,19/11/2024
N079121397,19/11/2024
N613501397,18/11/2024
N903501397,18/11/2024
N089590397,14/11/2024
N351980397,14/11/2024
N192780397,13/11/2024
N382780397,13/11/2024
N382780397,12/11/2024
N871870397,12/11/2024
N561870397,11/11/2024
N871870397,11/11/2024
N647570397,08/11/2024
N807570397,08/11/2024
N145050397,05/11/2024
N663260397,05/11/2024
N145050397,01/11/2024
N285350397,01/11/2024
N145050397,31/10/2024
N925050397,31/10/2024
N125540397,30/10/2024
N283540397,30/10/2024
N115140397,29/10/2024
N516140397,29/10/2024
